Koodi	Maara	Maa	Osuus
pro	12	muinaisprovensaali (-1500)	0.00017250021670339722
sel	12	selkuppi	0.00017250021670339722
che	12	tsetseeni	0.00017250021670339722
xal	12	kalmukki	0.00017250021670339722
mlt	12	malta	0.00017250021670339722
vol	12	volapük	0.00017250021670339722
lad	11	ladino	0.0001581251986447808
bam	11	bambara	0.0001581251986447808
pal	11	pahlavi	0.0001581251986447808
ful	11	fulani	0.0001581251986447808
oci	11	oksitaani (1500-)	0.0001581251986447808
pan	10	pandzabi	0.00014375018058616435
nic	9	nigeriläis-kongolaiset kielet	0.0001293751625275479
tig	9	tigre	0.0001293751625275479
ota	9	osmani (1500-1928)	0.0001293751625275479
sco	9	skotti	0.0001293751625275479
zul	9	zulu	0.0001293751625275479
pra	9	prakit-kielet	0.0001293751625275479
cai	9	Keski-Amerikan intiaanikielet	0.0001293751625275479
ave	8	avesta	0.00011500014446893149
alt	8	altai	0.00011500014446893149
ady	8	adyge	0.00011500014446893149
mao	8	maori	0.00011500014446893149
fur	8	friuli	0.00011500014446893149
zun	8	zuni	0.00011500014446893149
sin	7	sinhali	0.00010062512641031504
tgl	7	tagalog	0.00010062512641031504
sna	7	sona	0.00010062512641031504
fan	7	fang	0.00010062512641031504
lao	7	lao	0.00010062512641031504
guj	7	gudzarati	0.00010062512641031504
ido	7	ido	0.00010062512641031504
ava	7	avaari	0.00010062512641031504
paa	7	papualaiset kielet	0.00010062512641031504
ber	7	berberikielet	0.00010062512641031504
ewo	6	ewondo	0.00008625010835169861
fil	6	filipino	0.00008625010835169861
hau	6	hausa	0.00008625010835169861
xho	6	xhosa	0.00008625010835169861
jrb	6	juutalaisarabia	0.00008625010835169861
crh	6	krimintataari	0.00008625010835169861
myn	6	maya-kielet	0.00008625010835169861
kan	6	kannada	0.00008625010835169861
haw	6	havaiji	0.00008625010835169861
sai	6	Etelä-Amerikan intiaanikielet	0.00008625010835169861
yor	6	joruba	0.00008625010835169861
abk	5	abhaasi	0.00007187509029308217
kaa	5	karakalpakki	0.00007187509029308217
map	5	austronesialaiset kielet	0.00007187509029308217
syc	5	muinaissyyria	0.00007187509029308217
nds	5	alasaksa	0.00007187509029308217
mnc	5	mantsu	0.00007187509029308217
srd	5	sardi	0.00007187509029308217
tir	5	tigrinja	0.00007187509029308217
bat	5	balttilaiset kielet	0.00007187509029308217
ale	5	aleutti	0.00007187509029308217
snd	5	sindhi	0.00007187509029308217
nog	5	nogai	0.00007187509029308217
tel	5	telugu	0.00007187509029308217
hit	4	heetti	0.000057500072234465745
tai	4	thaikielet	0.000057500072234465745
dra	4	dravidakielet	0.000057500072234465745
zap	4	sapoteekki	0.000057500072234465745
lin	4	lingala	0.000057500072234465745
que	4	ketsua	0.000057500072234465745
lez	4	lezgi	0.000057500072234465745
cos	4	korsika	0.000057500072234465745
gaa	4	ga	0.000057500072234465745
mlg	4	malagassi	0.000057500072234465745
krc	4	karatsai-balkaari	0.000057500072234465745
kro	3	kru-kielet	0.000043125054175849304
sid	3	sidamo	0.000043125054175849304
man	3	mandingo	0.000043125054175849304
fij	3	fidzi	0.000043125054175849304
csb	3	kasubi	0.000043125054175849304
iku	3	inuktitut	0.000043125054175849304
sot	3	sotho	0.000043125054175849304
chn	3	chinook-jargon	0.000043125054175849304
nav	3	navajo	0.000043125054175849304
fon	3	fon	0.000043125054175849304
dzo	3	dzongkha	0.000043125054175849304
kum	3	kumykki	0.000043125054175849304
cpp	3	portugaliin perustuvat kreolit ja pidginit	0.000043125054175849304
nno	3	norja	0.000043125054175849304
zza	3	zaza	0.000043125054175849304
sit	3	sinotiibetiläiset kielet	0.000043125054175849304
ori	3	orija	0.000043125054175849304
mga	3	keski-iiri (n. 1100-1550)	0.000043125054175849304
sga	3	muinaisiiri (-900)	0.000043125054175849304
rup	3	aromania	0.000043125054175849304
rap	2	rapanui	0.000028750036117232873
inh	2	inguusi	0.000028750036117232873
asm	2	assami	0.000028750036117232873
iro	2	irokeesikielet	0.000028750036117232873
kmb	2	kimbundu	0.000028750036117232873
hai	2	haida	0.000028750036117232873
uga	2	ugarit	0.000028750036117232873
mdr	2	mandar	0.000028750036117232873
kon	2	kongo	0.000028750036117232873
kas	2	kasmiri	0.000028750036117232873
son	2	songhai	0.000028750036117232873
luo	2	luo	0.000028750036117232873
ewe	2	ewe	0.000028750036117232873
mus	2	creek	0.000028750036117232873
her	2	herero	0.000028750036117232873
sog	2	sogdi	0.000028750036117232873
tah	2	tahiti	0.000028750036117232873
khi	2	khoisan-kielet	0.000028750036117232873
sal	2	salisialaiset kielet	0.000028750036117232873
phi	2	filippiiniläiset kielet	0.000028750036117232873
jpr	2	juutalaispersia	0.000028750036117232873
umb	2	umbundu	0.000028750036117232873
dua	2	duala	0.000028750036117232873
kab	1	kabyyli	0.000014375018058616436
ssa	1	niililäis-saharalaiset kielet	0.000014375018058616436
orm	1	oromo	0.000014375018058616436
sem	1	seemiläiset kielet	0.000014375018058616436
ban	1	bali	0.000014375018058616436
kok	1	konkani	0.000014375018058616436
mas	1	maasai	0.000014375018058616436
tkl	1	tokelau	0.000014375018058616436
kbd	1	kabardi	0.000014375018058616436
pau	1	palau	0.000014375018058616436
jav	1	jaava	0.000014375018058616436
peo	1	muinaispersia (n. 600-400 eKr.)	0.000014375018058616436
cus	1	kuusilaiset kielet	0.000014375018058616436
bas	1	basa (bantukielet)	0.000014375018058616436
bal	1	belutsi	0.000014375018058616436
raj	1	radzastani	0.000014375018058616436
efi	1	efik	0.000014375018058616436
ain	1	ainu	0.000014375018058616436
aym	1	aimara	0.000014375018058616436
iba	1	iban	0.000014375018058616436
wak	1	wakash-kielet	0.000014375018058616436
ast	1	asturia	0.000014375018058616436
crp	1	kreolit ja pidginit	0.000014375018058616436
alg	1	algonkin-kielet	0.000014375018058616436
kho	1	khotani	0.000014375018058616436
gsw	1	sveitsinsaksa	0.000014375018058616436
mun	1	mundakielet	0.000014375018058616436
kik	1	kikuju	0.000014375018058616436
nub	1	nubialaiset kielet	0.000014375018058616436
lug	1	ganda	0.000014375018058616436
art	1	keinotekoiset kielet	0.000014375018058616436
cor	1	korni	0.000014375018058616436
hmn	1	hmong	0.000014375018058616436
lim	1	limburg	0.000014375018058616436
cre	1	cree	0.000014375018058616436
ton	1	tonga (Tonga)	0.000014375018058616436
aus	1	australialaiset kielet	0.000014375018058616436
lun	1	lunda	0.000014375018058616436
dar	1	dargi	0.000014375018058616436
elx	1	elami	0.000014375018058616436
bra	1	bradz	0.000014375018058616436
lus	1	lusai	0.000014375018058616436
tog	1	tonga (Malawi)	0.000014375018058616436
bis	1	bislama	0.000014375018058616436
mai	1	maithili	0.000014375018058616436
???	53766	tunnistamaton tai virheellinen koodi	0.7728872209395713
